YEAR,GEO,AB,BC,MN,NB,NFLD,NS,ON,PEI,QC,SK,perCapGas_avg,perCapGas,RealGasPrice,gas_price,excise_real,PIT,CIT,lPIT,lCIT,RealGasPriceBC,cTaxBC,excise_realBC,lPITBC,lCITBC,cTaxRealCent,Tax_ad_val,Inc_Nom_Ann,Inc_Real_Ann,sm_sh_car,sm_sh_all
1990,Alberta,1,0,0,0,0,0,0,0,0,0,202.9258424,2435.110109,72.13711753,72.13711753,8.440042751,2941,855,3.468495025,2.931966115,0,0,0,0,0,0,0.117,16883.27286,22571.2204,0.481716767,0.408747882
1991,Alberta,1,0,0,0,0,0,0,0,0,0,181.6480121,2179.776146,63.60828085,63.60828085,10.55897462,3072,745,3.487421211,2.872156273,0,0,0,0,0,0,0.166,17313.92822,21778.52606,0.510058723,0.42197815
1992,Alberta,1,0,0,0,0,0,0,0,0,0,181.1883715,2174.260458,57.84189038,57.84189038,11.22132673,2859,575,3.456214155,2.759667845,0,0,0,0,0,0,0.194,17522.50185,21767.08305,0.481408341,0.383494232
1993,Alberta,1,0,0,0,0,0,0,0,0,0,178.2632652,2139.159182,58.0885716,58.0885716,11.0368286,2812,754,3.449015316,2.877371346,0,0,0,0,0,0,0.19,17965.78702,22098.13902,0.44720408,0.346475905
1994,Alberta,1,0,0,0,0,0,0,0,0,0,182.9888145,2195.865774,57.39083819,57.39083819,10.96165009,3148,1057,3.498034724,3.024074987,0,0,0,0,0,0,0.191,17848.58658,21660.90604,0.424190169,0.319114509
1995,Alberta,1,0,0,0,0,0,0,0,0,0,178.9299444,2147.159333,59.13797117,59.13797117,10.64483481,3223,1277,3.508260306,3.106190897,0,0,0,0,0,0,0.18,18301.93902,21710.4852,0.381746752,0.288216181
1996,Alberta,1,0,0,0,0,0,0,0,0,0,179.2798623,2151.358348,59.83570916,59.83570916,10.4712491,3666,1703,3.564192461,3.231214648,0,0,0,0,0,0,0.175,18506.86075,21469.67605,0.390358958,0.285314747
1997,Alberta,1,0,0,0,0,0,0,0,0,0,183.1496733,2197.79608,60.30166154,60.30166154,10.1909808,4151,1964,3.618152733,3.293141483,0,0,0,0,0,0,0.169,19612.36081,22211.05414,0.413091444,0.298471583
1998,Alberta,1,0,0,0,0,0,0,0,0,0,185.6994255,2228.393106,54.80878765,54.80878765,10.08481693,4573,1312,3.660201201,3.117933835,0,0,0,0,0,0,0.184,20376.56266,22716.34633,0.407014174,0.295696216
1999,Alberta,1,0,0,0,0,0,0,0,0,0,183.6696633,2204.035959,57.58531872,57.58531872,9.90467482,4704,1483,3.672467313,3.171141151,0,0,0,0,0,0,0.172,20945.29331,22966.33039,0.401099179,0.293095165
2000,Alberta,1,0,0,0,0,0,0,0,0,0,178.9202347,2147.042817,67.70964135,67.70964135,9.54705943,5080,2729,3.705863712,3.436003536,0,0,0,0,0,0,0.141,22565.09058,23929.04622,0.413255994,0.306545809
2001,Alberta,1,0,0,0,0,0,0,0,0,0,186.3558833,2236.2706,66.64676062,66.64676062,9.397193247,4357,1961,3.63918756,3.292477594,0,0,0,0,0,0,0.141,24700.64751,24824.77137,0.458399687,0.349426585
2002,Alberta,1,0,0,0,0,0,0,0,0,0,181.9490958,2183.38915,64.53479185,64.53479185,9.034870859,4428,2133,3.646207612,3.328990855,0,0,0,0,0,0,0.14,25036.40881,25061.47028,0.4595701,0.354754542
2003,Alberta,1,0,0,0,0,0,0,0,0,0,174.1015957,2089.219149,63.50290718,63.50290718,8.636395377,4515,1604,3.654657755,3.205204364,0,0,0,0,0,0,0.136,25740.43569,24584.94335,0.457387762,0.356334938
2004,Alberta,1,0,0,0,0,0,0,0,0,0,174.647633,2095.771596,70.62268721,70.62268721,8.545345152,4907,2109,3.690816058,3.32407658,0,0,0,0,0,0,0.121,27645.25443,25812.56249,0.487967495,0.387389728
2005,Alberta,1,0,0,0,0,0,0,0,0,0,171.6176545,2059.411854,79.32666996,79.32666996,8.408627016,5777,2623,3.761702368,3.418798291,0,0,0,0,0,0,0.106,29663.175,27516.85993,0.503695559,0.191964764
2006,Alberta,1,0,0,0,0,0,0,0,0,0,172.4133851,2068.960621,82.12353566,82.12353566,8.13023003,6859,3217,3.836260803,3.507451061,0,0,0,0,0,0,0.099,32863.106,29394.5492,0.504778692,0.185093006
2007,Alberta,1,0,0,0,0,0,0,0,0,0,173.6510834,2083.813001,83.48492511,83.48492511,7.68061311,7667,3546,3.884625463,3.549738731,0,0,0,0,0,0,0.092,34748.28842,29249.40103,0.541950678,0.191272379
2008,Alberta,1,0,0,0,0,0,0,0,0,0,167.2024443,2006.429332,91.21240806,91.21240806,7.570629869,8121,3842,3.90960951,3.584557361,0,0,0,0,0,0,0.083,37330.95829,30105.61152,0.563329571,0.215309952
2009,Alberta,1,0,0,0,0,0,0,0,0,0,158.2174883,1898.60986,73.09449736,73.09449736,7.455638731,7231,3923,3.859198362,3.593618308,0,0,0,0,0,0,0.102,36233.08991,29699.25403,0.568523134,0.194217943
2010,Alberta,1,0,0,0,0,0,0,0,0,0,161.3771224,1936.525468,75.72656781,75.72656781,7.345477078,NA,NA,NA,NA,0,0,0,0,0,0,0.097,37884.90398,30876.04236,0.531647558,0.152258006
2011,Alberta,1,0,0,0,0,0,0,0,0,0,173.2921096,2079.505315,88.6269349,88.6269349,7.178781727,NA,NA,NA,NA,0,0,0,0,0,0,0.081,NA,NA,0.547763521,0.13410478
1990,BC,0,1,0,0,0,0,0,0,0,0,116.7327591,1400.79311,78.3187428,78.3187428,11.90444891,4089,609,3.611617111,2.784617293,78.3187428,0,11.90444891,3.611617111,2.784617293,0,0.152,17003.07189,21659.96419,0.523568197,0.457735349
1991,BC,0,1,0,0,0,0,0,0,0,0,115.4488557,1385.386268,69.99190715,69.99190715,12.10859994,4214,601,3.624694531,2.778874472,69.99190715,0,12.10859994,3.624694531,2.778874472,0,0.173,17309.33221,20904.9906,0.539444198,0.464558414
1992,BC,0,1,0,0,0,0,0,0,0,0,115.5909197,1387.091036,63.42803289,63.42803289,11.73418608,4263,656,3.629715333,2.816903839,63.42803289,0,11.73418608,3.629715333,2.816903839,0,0.185,17454.15276,20607.02805,0.483860673,0.403827374
1993,BC,0,1,0,0,0,0,0,0,0,0,118.4958918,1421.950702,62.36056547,62.36056547,11.66142574,4263,849,3.629715333,2.92890769,62.36056547,0,11.66142574,3.629715333,2.92890769,0,0.187,17801.86626,20344.99001,0.464864306,0.374852734
1994,BC,0,1,0,0,0,0,0,0,0,0,119.7358731,1436.830477,62.08236544,62.08236544,12.29230836,4877,1036,3.688152756,3.015359755,62.08236544,0,12.29230836,3.688152756,3.015359755,0,0.198,17968.34939,20121.33191,0.421430641,0.330096129
1995,BC,0,1,0,0,0,0,0,0,0,0,118.5076519,1422.091823,63.79433626,63.79433626,11.99333522,5065,1071,3.70457945,3.029789471,63.79433626,0,11.99333522,3.70457945,3.029789471,0,0.188,18299.93726,19978.09744,0.384950956,0.303769799
1996,BC,0,1,0,0,0,0,0,0,0,0,117.7086036,1412.503244,64.12599061,64.12599061,11.92743425,5575,1068,3.746244872,3.028571253,64.12599061,0,11.92743425,3.746244872,3.028571253,0,0.186,18221.27616,19698.67693,0.414976398,0.32349104
1997,BC,0,1,0,0,0,0,0,0,0,0,120.9103724,1450.924469,63.19192526,63.19192526,11.81689002,5675,1063,3.753965866,3.026533265,63.19192526,0,11.81689002,3.753965866,3.026533265,0,0.187,18483.84598,19811.19612,0.4464631,0.338660392
1998,BC,0,1,0,0,0,0,0,0,0,0,124.5222179,1494.266614,54.16315035,54.16315035,11.80756678,5796,967,3.763128377,2.985426474,54.16315035,0,11.80756678,3.763128377,2.985426474,0,0.218,18675.84475,19931.53121,0.458487155,0.348045208
1999,BC,0,1,0,0,0,0,0,0,0,0,122.5901506,1471.081807,57.47657577,57.47657577,11.78269803,6036,1320,3.780749231,3.120573931,57.47657577,0,11.78269803,3.780749231,3.120573931,0,0.205,19298.12097,20399.70504,0.467031736,0.352054983
2000,BC,0,1,0,0,0,0,0,0,0,0,120.0154714,1440.185657,71.83944621,71.83944621,11.49431139,6464,1420,3.810501348,3.152288344,71.83944621,0,11.49431139,3.810501348,3.152288344,0,0.16,20276.38931,21121.23887,0.48295006,0.374686345
2001,BC,0,1,0,0,0,0,0,0,0,0,116.1922669,1394.307203,70.53587847,70.53587847,11.28574055,5140,865,3.710963119,2.937016107,70.53587847,0,11.28574055,3.710963119,2.937016107,0,0.16,20933.87474,21209.59954,0.528490266,0.421975686
2002,BC,0,1,0,0,0,0,0,0,0,0,115.1162255,1381.394706,70.39261895,70.39261895,11.12203379,4633,841,3.6658623,2.924795996,70.39261895,0,11.12203379,3.6658623,2.924795996,0,0.158,21617.89947,21553.23975,0.518772709,0.424566665
2003,BC,0,1,0,0,0,0,0,0,0,0,116.0582346,1392.698815,75.11612082,75.11612082,13.67113399,4780,993,3.679427897,2.996949248,75.11612082,0,13.67113399,3.679427897,2.996949248,0,0.182,22197.04269,21761.80656,0.521264563,0.434209925
2004,BC,0,1,0,0,0,0,0,0,0,0,121.5318378,1458.382054,82.41983215,82.41983215,14.01137146,5180,1283,3.71432976,3.108226656,82.41983215,0,14.01137146,3.71432976,3.108226656,0,0.17,23321.06749,22231.71353,0.556567222,0.470246972
2005,BC,0,1,0,0,0,0,0,0,0,0,113.657724,1363.892688,91.31247493,91.31247493,13.69687124,5738,1286,3.758760544,3.109240969,91.31247493,0,13.69687124,3.758760544,3.109240969,0,0.15,24213.51758,22757.06539,0.574780659,0.294648728
2006,BC,0,1,0,0,0,0,0,0,0,0,110.5691497,1326.829796,95.96827553,95.96827553,13.53152685,6471,1784,3.8109714,3.25139485,95.96827553,0,13.53152685,3.8109714,3.25139485,0,0.141,26108.61584,24018.96581,0.586302609,0.303460165
2007,BC,0,1,0,0,0,0,0,0,0,0,109.6579767,1315.895721,98.29011456,98.29011456,13.26916547,6730,1581,3.828015064,3.19893187,98.29011456,0,13.26916547,3.828015064,3.19893187,0,0.135,27286.78458,24738.69862,0.606571266,0.299669229
2008,BC,0,1,0,0,0,0,0,0,0,0,105.1796157,1262.155389,107.8541667,106.7931667,13.2660625,6188,1725,3.791550305,3.236789099,107.8541667,1.061,13.2660625,3.791550305,3.236789099,1.061,0.123,28480.30598,25070.69189,0.630739388,0.328763719
2009,BC,0,1,0,0,0,0,0,0,0,0,105.453803,1265.445636,92.56227654,90.16577654,12.95871872,5747,1673,3.759441197,3.223495941,92.56227654,2.3965,12.95871872,3.759441197,3.223495941,2.3965,0.14,28278.58717,25069.66947,0.633732047,0.302049587
2010,BC,0,1,0,0,0,0,0,0,0,0,104.9202256,1259.042707,101.2567723,98.07827232,12.35332622,5529,1317,3.74264659,3.119585775,101.2567723,3.1785,12.35332622,3.74264659,3.119585775,3.1785,0.122,29174.72648,25727.27203,0.625117039,0.272463449
2011,BC,0,1,0,0,0,0,0,0,0,0,100.0401907,1200.482289,113.6442811,109.4852811,12.0462938,5361,1658,3.729245807,3.219584526,113.6442811,4.159,12.0462938,3.729245807,3.219584526,4.159,0.106,NA,NA,0.61812183,0.256154362
1990,Manitoba,0,0,1,0,0,0,0,0,0,0,137.0887437,1645.064925,72.54420538,72.54420538,11.89724968,1074,173,3.031004281,2.238046103,0,0,0,0,0,0,0.164,15711.66099,20673.23814,0.481982751,0.414890943
1991,Manitoba,0,0,1,0,0,0,0,0,0,0,140.7054237,1688.465085,65.96797234,65.96797234,12.4019788,1078,124,3.032618761,2.093421685,0,0,0,0,0,0,0.188,15799.33021,19724.50713,0.532937306,0.453722917
1992,Manitoba,0,0,1,0,0,0,0,0,0,0,140.6230303,1687.476363,60.94381143,60.94381143,12.98103183,1069,103,3.028977705,2.012837225,0,0,0,0,0,0,0.213,16022.44652,19756.40755,0.508753967,0.412621964
1993,Manitoba,0,0,1,0,0,0,0,0,0,0,138.5883755,1663.060506,62.46288236,62.46288236,13.42951971,1060,133,3.025305865,2.123851641,0,0,0,0,0,0,0.215,16039.46966,19255.06562,0.476620825,0.374877263
1994,Manitoba,0,0,1,0,0,0,0,0,0,0,139.736702,1676.840424,61.77749606,61.77749606,13.65282663,1209,167,3.082426301,2.222716471,0,0,0,0,0,0,0.221,16264.70091,19316.74692,0.467889908,0.359815282
1995,Manitoba,0,0,1,0,0,0,0,0,0,0,142.4679733,1709.61568,62.91541665,62.91541665,13.27515291,1240,191,3.093421685,2.281033367,0,0,0,0,0,0,0.211,16742.68255,19266.60823,0.444080515,0.343878257
1996,Manitoba,0,0,1,0,0,0,0,0,0,0,138.8244933,1665.893919,64.04546341,64.04546341,13.00122907,1321,210,3.120902818,2.322219295,0,0,0,0,0,0,0.203,17239.52474,19457.70286,0.474859689,0.357214363
1997,Manitoba,0,0,1,0,0,0,0,0,0,0,135.8673705,1630.408446,63.29135009,63.29135009,12.72156137,1575,252,3.197280558,2.401400541,0,0,0,0,0,0,0.201,17194.36542,18936.5258,0.47419284,0.343817183
1998,Manitoba,0,0,1,0,0,0,0,0,0,0,137.4103744,1648.924492,58.06953455,58.06953455,12.54301946,1590,288,3.201397124,2.459392488,0,0,0,0,0,0,0.216,18030.06447,19619.2214,0.48438834,0.353572223
1999,Manitoba,0,0,1,0,0,0,0,0,0,0,140.2797176,1683.356611,61.14290876,61.14290876,12.35086757,1647,339,3.216693599,2.530199698,0,0,0,0,0,0,0.202,18497.99728,19762.81761,0.476599967,0.346449752
2000,Manitoba,0,0,1,0,0,0,0,0,0,0,138.7823318,1665.387981,69.49288112,69.49288112,12.02226843,1784,391,3.25139485,2.592176757,0,0,0,0,0,0,0.173,19264.14152,20129.71946,0.486872483,0.358277361
2001,Manitoba,0,0,1,0,0,0,0,0,0,0,136.7038584,1640.446301,65.98328435,65.98328435,11.8110079,1672,249,3.223236273,2.396199347,0,0,0,0,0,0,0.179,19952.42475,19992.40957,0.525106512,0.39302255
2002,Manitoba,0,0,1,0,0,0,0,0,0,0,137.4935998,1649.923198,63.14304591,63.14304591,11.5551774,1771,259,3.248218561,2.413299764,0,0,0,0,0,0,0.183,20471.84322,20390.28209,0.519684689,0.392419962
2003,Manitoba,0,0,1,0,0,0,0,0,0,0,138.6427686,1663.713223,66.36576668,66.36576668,11.3485461,1752,311,3.243534102,2.492760389,0,0,0,0,0,0,0.171,20996.39205,20686.10054,0.523397956,0.397858439
2004,Manitoba,0,0,1,0,0,0,0,0,0,0,141.3580007,1696.296009,73.86547745,73.86547745,11.1536871,1823,310,3.260786669,2.491361694,0,0,0,0,0,0,0.151,21927.18603,21003.05175,0.556247199,0.429631909
2005,Manitoba,0,0,1,0,0,0,0,0,0,0,131.4724834,1577.669801,84.38382498,84.38382498,10.88551342,1995,299,3.2999429,2.475671188,0,0,0,0,0,0,0.129,22441.63418,21032.4594,0.569006077,0.262515263
2006,Manitoba,0,0,1,0,0,0,0,0,0,0,138.7765061,1665.318073,88.84438939,88.84438939,10.66132673,2113,348,3.324899497,2.541579244,0,0,0,0,0,0,0.12,23780.62737,21757.2071,0.568414677,0.259045428
2007,Manitoba,0,0,1,0,0,0,0,0,0,0,142.8995958,1714.79515,92.10591952,92.10591952,10.40796891,2334,326,3.368100852,2.5132176,0,0,0,0,0,0,0.113,25112.31126,22481.92592,0.595320538,0.266402515
2008,Manitoba,0,0,1,0,0,0,0,0,0,0,133.2596089,1599.115306,102.050876,102.050876,10.40918935,2426,333,3.384890797,2.522444234,0,0,0,0,0,0,0.102,26550.48582,23208.46663,0.64952645,0.304386421
2009,Manitoba,0,0,1,0,0,0,0,0,0,0,133.2793569,1599.352283,82.74222422,82.74222422,10.09455135,2362,370,3.373279893,2.568201724,0,0,0,0,0,0,0.122,26888.49828,23360.98895,0.662818746,0.269429205
2010,Manitoba,0,0,1,0,0,0,0,0,0,0,144.8920677,1738.704812,84.73884626,84.73884626,9.999183858,NA,NA,NA,NA,0,0,0,0,0,0,0.118,27645.22675,24060.24956,0.642682298,0.226621238
2011,Manitoba,0,0,1,0,0,0,0,0,0,0,142.2195792,1706.634951,96.76123092,96.76123092,9.772884323,NA,NA,NA,NA,0,0,0,0,0,0,0.101,NA,NA,0.634234348,0.214622338
1990,NB,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,675,70,2.829303773,1.84509804,0,0,0,0,0,0,NA,13691.70823,NA,0.610527257,0.559187352
1991,NB,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,693,72,2.840733235,1.857332496,0,0,0,0,0,0,NA,14158.35197,NA,0.644890822,0.583962647
1992,NB,0,0,0,1,0,0,0,0,0,0,138.9625892,277.9251785,65.95536293,65.95536293,12.66342968,675,107,2.829303773,2.029383778,0,0,0,0,0,0,0.192,14544.43867,NA,0.616227319,0.539845758
1993,NB,0,0,0,1,0,0,0,0,0,0,137.8232421,1653.878905,64.1211281,64.1211281,12.50361998,670,114,2.826074803,2.056904851,0,0,0,0,0,0,0.195,14895.59462,17421.7481,0.61293461,0.513205282
1994,NB,0,0,0,1,0,0,0,0,0,0,141.1212674,1693.455209,62.45675764,62.45675764,12.49135153,775,153,2.889301703,2.184691431,0,0,0,0,0,0,0.2,15033.62504,17583.18718,0.583076754,0.480690781
1995,NB,0,0,0,1,0,0,0,0,0,0,135.844713,1630.136557,64.2464539,64.2464539,12.2710727,785,155,2.894869657,2.190331698,0,0,0,0,0,0,0.191,15591.0635,17798.0177,0.515679649,0.426045646
1996,NB,0,0,0,1,0,0,0,0,0,0,140.3365566,1684.038679,62.31082213,62.31082213,12.08829949,841,140,2.924795996,2.146128036,0,0,0,0,0,0,0.194,15703.18025,17783.89609,0.501351266,0.396116794
1997,NB,0,0,0,1,0,0,0,0,0,0,140.5805395,1686.966474,66.751618,66.751618,11.881788,835,154,2.921686475,2.187520721,0,0,0,0,0,0,0.178,15991.79281,17828.08563,0.521814911,0.396606983
1998,NB,0,0,0,1,0,0,0,0,0,0,143.0172008,1716.20641,61.06708517,61.06708517,11.84701452,871,141,2.940018155,2.149219113,0,0,0,0,0,0,0.194,16760.15616,18519.50956,0.519608373,0.39117156
1999,NB,0,0,0,1,0,0,0,0,0,0,144.7302064,1736.762477,64.15718979,64.15718979,11.74076573,923,178,2.965201701,2.250420002,0,0,0,0,0,0,0.183,17571.2529,19099.18794,0.510330974,0.390342052
2000,NB,0,0,0,1,0,0,0,0,0,0,141.8170027,1701.804032,77.04437416,77.04437416,11.24847863,974,202,2.988558957,2.305351369,0,0,0,0,0,0,0.146,18294.05596,19196.28118,0.549805521,0.420542776
2001,NB,0,0,0,1,0,0,0,0,0,0,143.2522839,1719.027407,72.35909383,72.35909383,11.36037773,923,148,2.965201701,2.170261715,0,0,0,0,0,0,0.157,18894.34663,19378.81706,0.559025732,0.435101666
2002,NB,0,0,0,1,0,0,0,0,0,0,146.8991164,1762.789397,72.44988417,72.44988417,13.18587892,966,126,2.984977126,2.100370545,0,0,0,0,0,0,0.182,19323.90359,19323.90359,0.534732134,0.41590497
2003,NB,0,0,0,1,0,0,0,0,0,0,148.0503476,1776.604171,76.1664348,76.1664348,14.09079044,967,130,2.985426474,2.113943352,0,0,0,0,0,0,0.185,20052.33597,19468.28735,0.551750227,0.444674797
2004,NB,0,0,0,1,0,0,0,0,0,0,148.9456654,1787.347985,83.86136655,83.86136655,13.83712548,1014,138,3.006037955,2.139879086,0,0,0,0,0,0,0.165,21088.40905,20026.97915,0.623919864,0.518952573
2005,NB,0,0,0,1,0,0,0,0,0,0,145.5557035,1746.668443,91.10975808,91.10975808,13.57535395,1079,195,3.033021445,2.290034611,0,0,0,0,0,0,0.149,21796.62014,20389.72885,0.660078193,0.370180888
2006,NB,0,0,0,1,0,0,0,0,0,0,144.8165347,1737.798416,93.49951745,93.49951745,12.43543582,1130,166,3.053078443,2.220108088,0,0,0,0,0,0,0.133,22804.87183,20731.70167,0.650776454,0.370662043
2007,NB,0,0,0,1,0,0,0,0,0,0,145.4081411,1744.897694,91.15123434,91.15123434,9.66203084,1258,157,3.099680641,2.195899652,0,0,0,0,0,0,0.106,23885.50197,21307.31665,0.669360167,0.364373254
2008,NB,0,0,0,1,0,0,0,0,0,0,148.1759236,1778.111083,100.3340983,100.3340983,9.73240753,1339,211,3.126780577,2.324282455,0,0,0,0,0,0,0.097,25226.80025,22032.13995,0.709386859,0.405854348
2009,NB,0,0,0,1,0,0,0,0,0,0,132.9809438,1595.771325,80.4610588,80.4610588,9.494404939,1248,252,3.096214585,2.401400541,0,0,0,0,0,0,0.118,26067.25752,22766.16378,0.721203655,0.361264177
2010,NB,0,0,0,1,0,0,0,0,0,0,140.5887201,1687.064641,86.1897386,86.1897386,9.22230203,NA,NA,NA,NA,0,0,0,0,0,0,0.107,27090.82166,23414.7119,0.707239177,0.316852146
2011,NB,0,0,0,1,0,0,0,0,0,0,166.6265261,1999.518313,101.3495197,101.3495197,8.918757737,NA,NA,NA,NA,0,0,0,0,0,0,0.088,NA,NA,0.705710991,0.303531807
1990,NFLD,0,0,0,0,1,0,0,0,0,0,113.3707065,1360.448478,77.3188022,77.3188022,13.9947032,461,56,2.663700925,1.748188027,0,0,0,0,0,0,0.181,12569.1067,15930.42675,0.722192115,0.677448052
1991,NFLD,0,0,0,0,1,0,0,0,0,0,109.6433794,1315.720553,75.43474716,75.43474716,16.06760115,476,46,2.677606953,1.662757832,0,0,0,0,0,0,0.213,13075.26689,15418.9468,0.754382105,0.704617071
1992,NFLD,0,0,0,0,1,0,0,0,0,0,110.0709426,1320.851311,71.27055969,71.27055969,16.03587593,469,39,2.671172843,1.591064607,0,0,0,0,0,0,0.225,13359.55829,15625.21437,0.743097146,0.686745256
1993,NFLD,0,0,0,0,1,0,0,0,0,0,110.7341898,1328.810278,65.6812317,65.6812317,18.12801995,486,48,2.686636269,1.681241237,0,0,0,0,0,0,0.276,13697.09488,15798.264,0.736412214,0.666367341
1994,NFLD,0,0,0,0,1,0,0,0,0,0,110.1025914,1321.231097,66.70020422,66.70020422,18.67605718,546,58,2.737192643,1.763427994,0,0,0,0,0,0,0.28,13943.38394,15880.84732,0.720523675,0.635703417
1995,NFLD,0,0,0,0,1,0,0,0,0,0,108.2822248,1299.386698,70.50231821,70.50231821,18.54210969,564,60,2.751279104,1.77815125,0,0,0,0,0,0,0.263,14289.81824,16002.0361,0.664833602,0.580559695
1996,NFLD,0,0,0,0,1,0,0,0,0,0,107.3007402,1287.608882,67.88885052,67.88885052,18.26210079,581,63,2.764176132,1.799340549,0,0,0,0,0,0,0.269,14270.19571,15768.17206,0.647034681,0.560135015
1997,NFLD,0,0,0,0,1,0,0,0,0,0,105.6296343,1267.555612,73.33373558,73.33373558,17.89343148,566,78,2.752816431,1.892094603,0,0,0,0,0,0,0.244,14428.82789,15632.53292,0.631173884,0.524529098
1998,NFLD,0,0,0,0,1,0,0,0,0,0,106.6261149,1279.513379,69.60363592,69.60363592,17.81853079,598,58,2.776701184,1.763427994,0,0,0,0,0,0,0.256,14998.80521,16232.47317,0.655904914,0.542418961
1999,NFLD,0,0,0,0,1,0,0,0,0,0,111.5477891,1338.573469,70.50619339,70.50619339,17.69705454,655,64,2.8162413,1.806179974,0,0,0,0,0,0,0.251,15708.87763,16729.36915,0.635780213,0.515523592
2000,NFLD,0,0,0,0,1,0,0,0,0,0,113.210215,1358.52258,85.87929661,85.87929661,17.08998002,656,119,2.816903839,2.075546961,0,0,0,0,0,0,0.199,16554.09629,17136.74564,0.654867897,0.543232857
2001,NFLD,0,0,0,0,1,0,0,0,0,0,113.8302564,1365.963077,80.96641534,80.96641534,17.00294722,646,84,2.810232518,1.924279286,0,0,0,0,0,0,0.21,17462.49758,17728.42394,0.65335803,0.551540422
2002,NFLD,0,0,0,0,1,0,0,0,0,0,116.4443522,1397.332226,76.97334775,76.97334775,16.54926977,696,81,2.84260924,1.908485019,0,0,0,0,0,0,0.215,18056.67034,17984.73142,0.649685878,0.538762104
2003,NFLD,0,0,0,0,1,0,0,0,0,0,117.8172655,1413.807186,80.49850355,80.49850355,16.01920221,724,104,2.859738566,2.017033339,0,0,0,0,0,0,0.199,18847.87472,18370.24827,0.639804726,0.536835856
2004,NFLD,0,0,0,0,1,0,0,0,0,0,113.7972011,1365.566413,87.42875677,87.42875677,15.82460498,759,149,2.880241776,2.173186268,0,0,0,0,0,0,0.181,19449.33491,18505.55177,0.645577845,0.551783979
2005,NFLD,0,0,0,0,1,0,0,0,0,0,117.6034724,1411.241669,94.87455137,94.87455137,15.46455187,809,153,2.907948522,2.184691431,0,0,0,0,0,0,0.163,20108.36705,18688.07346,0.693936264,0.381189724
2006,NFLD,0,0,0,0,1,0,0,0,0,0,115.5066109,1386.079331,98.17603567,98.17603567,15.11910949,860,214,2.934498451,2.330413773,0,0,0,0,0,0,0.154,25415.77424,23021.53464,0.701689424,0.379838811
2007,NFLD,0,0,0,0,1,0,0,0,0,0,136.367739,1636.412868,99.83018662,99.83018662,14.87469781,896,265,2.95230801,2.423245874,0,0,0,0,0,0,0.149,24920.06975,22269.94616,0.703359829,0.376326793
2008,NFLD,0,0,0,0,1,0,0,0,0,0,146.7548207,1761.057848,108.0529278,108.0529278,14.69519818,876,326,2.942504106,2.5132176,0,0,0,0,0,0,0.136,24442.79434,21180.93097,0.739431616,0.399660789
